source,company_name,company_slug,batch,website,job_title,location,job_url,apply_url,careers_url,salary_range,job_type,job_source,stage,error
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Founding Recruiter,San Francisco,https://jobs.ashbyhq.com/bland/9e0f75a5-3efa-465d-a408-aa415f2d7254,https://jobs.ashbyhq.com/bland/9e0f75a5-3efa-465d-a408-aa415f2d7254/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Technical Account Manager,San Francisco,https://jobs.ashbyhq.com/bland/7f857821-4334-4a44-bb28-838612cfd150,https://jobs.ashbyhq.com/bland/7f857821-4334-4a44-bb28-838612cfd150/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Senior Infrastructure Engineer,San Francisco,https://jobs.ashbyhq.com/bland/a3a383e0-9c15-4777-a95b-536cb8c1174c,https://jobs.ashbyhq.com/bland/a3a383e0-9c15-4777-a95b-536cb8c1174c/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Customer Engineer,San Francisco,https://jobs.ashbyhq.com/bland/804fbd27-027e-4de5-8a6f-77241a65e599,https://jobs.ashbyhq.com/bland/804fbd27-027e-4de5-8a6f-77241a65e599/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Head of Partnerships,San Francisco,https://jobs.ashbyhq.com/bland/5f888694-c4e8-4998-a681-364ca410b1de,https://jobs.ashbyhq.com/bland/5f888694-c4e8-4998-a681-364ca410b1de/application,https://jobs.ashbyhq.com/bland,,,ashby,,
yc_work_at_startup,Bland AI,bland-ai,Summer 2023,https://bland.com,Full Stack Engineer,"San Francisco, CA, US",https://www.ycombinator.com/companies/bland-ai/jobs/gnjM27L-full-stack-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D83033&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28804,,$120K - $200K,Full-time,,,
yc_work_at_startup,Bland AI,bland-ai,Summer 2023,https://bland.com,AI / ML Engineer,"San Francisco, CA, US",https://www.ycombinator.com/companies/bland-ai/jobs/sKOsJDQ-ai-ml-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D68954&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28804,,$140K - $220K,Full-time,,,
yc_work_at_startup,Bland AI,bland-ai,Summer 2023,https://bland.com,Support Engineer,"San Francisco, CA, US / Remote (US)",https://www.ycombinator.com/companies/bland-ai/jobs/AInt422-support-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D68953&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28804,,$140K - $170K,Full-time,,,
yc_work_at_startup,Relace,relace,Winter 2023,https://relace.ai,GTM Engineer,"San Francisco, CA, US",https://www.ycombinator.com/companies/relace/jobs/9cATbuj-gtm-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D81105&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=27874,,$100K - $160K,Full-time,,,
yc_work_at_startup,Relace,relace,Winter 2023,https://relace.ai,Machine Learning Scientist,"San Francisco, CA, US",https://www.ycombinator.com/companies/relace/jobs/BiIbkUO-machine-learning-scientist,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D75942&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=27874,,$100K - $200K,Full-time,,,
